year,title,authors,publication,image,link,category,demo,data,software,bibtex,abstract,poster
2024,MMoE: Robust Spoiler Detection with Multi-modal Information and Domain-aware Mixture-of-Experts,"Zinan Zeng, Sen Ye, Zijian Cai, Heng Wang, Yuhan Liu, Haokai Zhang, Minnan Luo","arXiv preprint arXiv:2403.05265(2024).",MMoE.png,https://arxiv.org/abs/2403.05265,"Social Network Analysis",,,,"@misc{zeng2024mmoerobustspoilerdetection,
      title={MMoE: Robust Spoiler Detection with Multi-modal Information and Domain-aware Mixture-of-Experts}, 
      author={Zinan Zeng and Sen Ye and Zijian Cai and Heng Wang and Yuhan Liu and Haokai Zhang and Minnan Luo},
      year={2024},
      eprint={2403.05265},
      archivePrefix={arXiv},
      primaryClass={cs.AI},
      url={https://arxiv.org/abs/2403.05265}, 
}","Online movie review websites are valuable for information and discussion about movies. However, the massive spoiler reviews detract from the movie-watching experience, making spoiler detection an important task. Previous methods simply focus on reviews' text content, ignoring the heterogeneity of information in the platform. For instance, the metadata and the corresponding user's information of a review could be helpful. Besides, the spoiler language of movie reviews tends to be genre-specific, thus posing a domain generalization challenge for existing methods. To this end, we propose MMoE, a multi-modal network that utilizes information from multiple modalities to facilitate robust spoiler detection and adopts Mixture-of-Experts to enhance domain generalization. MMoE first extracts graph, text, and meta feature from the user-movie network, the review's textual content, and the review's metadata respectively. To handle genre-specific spoilers, we then adopt Mixture-of-Experts architecture to process information in three modalities to promote robustness. Finally, we use an expert fusion layer to integrate the features from different perspectives and make predictions based on the fused embedding. Experiments demonstrate that MMoE achieves state-of-the-art performance on two widely-used spoiler detection datasets, surpassing previous SOTA methods by 2.56% and 8.41% in terms of accuracy and F1-score. Further experiments also demonstrate MMoE's superiority in robustness and generalization.",
2023,Detecting Spoilers in Movie Reviews with External Movie Knowledge and User Networks,"Heng Wang, Wenqian Zhang, Yuyang Bai, Zhaoxuan Tan, Shangbin Feng, Qinghua Zheng, Minnan Luo","The 2023 Conference on Empirical Methods in Natural Language Processing(EMNLP), 2023.",MVSD.jpg,https://arxiv.org/abs/2304.11411,"Social Network Analysis, Natural Language Processing",,,https://github.com/Arthur-Heng/Spoiler-Detection,"@misc{wang2023detecting,
      title={Detecting Spoilers in Movie Reviews with External Movie Knowledge and User Networks}, 
      author={Heng Wang and Wenqian Zhang and Yuyang Bai and Zhaoxuan Tan and Shangbin Feng and Qinghua Zheng and Minnan Luo},
      year={2023},
      eprint={2304.11411},
      archivePrefix={arXiv},
      primaryClass={cs.AI}
}","Online movie review platforms are providing crowdsourced feedback for the film industry and the general public, while spoiler reviews greatly compromise user experience. Although preliminary research efforts were made to automatically identify spoilers, they merely focus on the review content itself, while robust spoiler detection requires putting the review into the context of facts and knowledge regarding movies, user behavior on film review platforms, and more. In light of these challenges, we first curate a large-scale network-based spoiler detection dataset LCS and a comprehensive and up-to-date movie knowledge base UKM. We then propose MVSD, a novel Multi-View Spoiler Detection framework that takes into account the external knowledge about movies and user activities on movie review platforms. Specifically, MVSD constructs three interconnecting heterogeneous information networks to model diverse data sources and their multi-view attributes, while we design and employ a novel heterogeneous graph neural network architecture for spoiler detection as node-level classification. Extensive experiments demonstrate that MVSD advances the state-of-the-art on two spoiler detection datasets, while the introduction of external knowledge and user interactions help ground robust spoiler detection. Our data and code are available at?https://github.com/Arthur-Heng/Spoiler-Detection.",
2023,LMBot: Distilling Graph Knowledge into Language Model for Graph-less Deployment in Twitter Bot Detection,"Zijian Cai, Zhaoxuan Tan, Zhenyu Lei, Zifeng Zhu, Hongrui Wang, Qinghua Zheng, Minnan Luo","The 16th ACM International Conference on Web Search and Data Mining(WSDM), 2023.",LMBot.jpg,https://arxiv.org/abs/2306.17408,"Social Network Analysis, Natural Language Processing, Graph Neural Networks",,,,"@misc{cai2023lmbot,
      title={LMBot: Distilling Graph Knowledge into Language Model for Graph-less Deployment in Twitter Bot Detection}, 
      author={Zijian Cai and Zhaoxuan Tan and Zhenyu Lei and Zifeng Zhu and Hongrui Wang and Qinghua Zheng and Minnan Luo},
      year={2023},
      eprint={2306.17408},
      archivePrefix={arXiv},
      primaryClass={cs.AI}
}","As malicious actors employ increasingly advanced and widespread bots to disseminate misinformation and manipulate public opinion, the detection of Twitter bots has become a crucial task. Though graph-based Twitter bot detection methods achieve state-of-the-art performance, we find that their inference depends on the neighbor users multi-hop away from the targets, and fetching neighbors is time-consuming and may introduce bias. At the same time, we find that after finetuning on Twitter bot detection, pretrained language models achieve competitive performance and do not require a graph structure during deployment. Inspired by this finding, we propose a novel bot detection framework LMBot that distills the knowledge of graph neural networks (GNNs) into language models (LMs) for graph-less deployment in Twitter bot detection to combat the challenge of data dependency. Moreover, LMBot is compatible with graph-based and graph-less datasets. Specifically, we first represent each user as a textual sequence and feed them into the LM for domain adaptation. For graph-based datasets, the output of LMs provides input features for the GNN, enabling it to optimize for bot detection and distill knowledge back to the LM in an iterative, mutually enhancing process. Armed with the LM, we can perform graph-less inference, which resolves the graph data dependency and sampling bias issues. For datasets without graph structure, we simply replace the GNN with an MLP, which has also shown strong performance. Our experiments demonstrate that LMBot achieves state-of-the-art performance on four Twitter bot detection benchmarks. Extensive studies also show that LMBot is more robust, versatile, and efficient compared to graph-based Twitter bot detection methods.",
2023,HOFA: Twitter Bot Detection with Homophily-Oriented Augmentation and Frequency Adaptive Attention,"Sen Ye, Zhaoxuan Tan, Zhenyu Lei, Ruijie He, Hongrui Wang, Qinghua Zheng, Minnan Luo",arXiv preprint arXiv:2306.12870(2023).,HOFA.jpg,https://arxiv.org/abs/2306.12870,"Social Network Analysis, Graph Neural Networks",,,,"@misc{ye2023hofa,
      title={HOFA: Twitter Bot Detection with Homophily-Oriented Augmentation and Frequency Adaptive Attention}, 
      author={Sen Ye and Zhaoxuan Tan and Zhenyu Lei and Ruijie He and Hongrui Wang and Qinghua Zheng and Minnan Luo},
      year={2023},
      eprint={2306.12870},
      archivePrefix={arXiv},
      primaryClass={cs.SI}
}","Twitter bot detection has become an increasingly important and challenging task to combat online misinformation, facilitate social content moderation, and safeguard the integrity of social platforms. Though existing graph-based Twitter bot detection methods achieved state-of-the-art performance, they are all based on the homophily assumption, which assumes users with the same label are more likely to be connected, making it easy for Twitter bots to disguise themselves by following a large number of genuine users. To address this issue, we proposed HOFA, a novel graph-based Twitter bot detection framework that combats the heterophilous disguise challenge with a homophily-oriented graph augmentation module (Homo-Aug) and a frequency adaptive attention module (FaAt). Specifically, the Homo-Aug extracts user representations and computes a k-NN graph using an MLP and improves Twitter's homophily by injecting the k-NN graph. For the FaAt, we propose an attention mechanism that adaptively serves as a low-pass filter along a homophilic edge and a high-pass filter along a heterophilic edge, preventing user features from being over-smoothed by their neighborhood. We also introduce a weight guidance loss to guide the frequency adaptive attention module. Our experiments demonstrate that HOFA achieves state-of-the-art performance on three widely-acknowledged Twitter bot detection benchmarks, which significantly outperforms vanilla graph-based bot detection techniques and strong heterophilic baselines. Furthermore, extensive studies confirm the effectiveness of our Homo-Aug and FaAt module, and HOFA's ability to demystify the heterophilous disguise challenge.",
2023,BIC: Twitter Bot Detection with Text-Graph Interaction and Semantic Consistency,"Zhenyu Lei, Herun Wan, Wenqian Zhang, Shangbin Feng, Zilong Chen, Jundong Li, Qinghua Zheng, Minnan Luo","The 61st Annual Meeting of the Association for Computational Linguistics (ACL), 2023.",BIC.jpg,https://arxiv.org/abs/2208.08320,Social Network Analysis,,,https://github.com/LzyFischer/BIC,"@misc{lei2023bic,
      title={BIC: Twitter Bot Detection with Text-Graph Interaction and Semantic Consistency}, 
      author={Zhenyu Lei and Herun Wan and Wenqian Zhang and Shangbin Feng and Zilong Chen and Jundong Li and Qinghua Zheng and Minnan Luo},
      year={2023},
      eprint={2208.08320},
      archivePrefix={arXiv},
      primaryClass={cs.AI}
}","Twitter bots are automatic programs operated by malicious actors to manipulate public opinion and spread misinformation. Research efforts have been made to automatically identify bots based on texts and networks on social media. Existing methods only leverage texts or networks alone, and while few works explored the shallow combination of the two modalities, we hypothesize that the interaction and information exchange between texts and graphs could be crucial for holistically evaluating bot activities on social media. In addition, according to a recent survey (Cresci, 2020), Twitter bots are constantly evolving while advanced bots steal genuine users' tweets and dilute their malicious content to evade detection. This results in greater inconsistency across the timeline of novel Twitter bots, which warrants more attention. In light of these challenges, we propose BIC, a Twitter Bot detection framework with text-graph Interaction and semantic Consistency. Specifically, in addition to separately modeling the two modalities on social media, BIC employs a text-graph interaction module to enable information exchange across modalities in the learning process. In addition, given the stealing behavior of novel Twitter bots, BIC proposes to model semantic consistency in tweets based on attention weights while using it to augment the decision process. Extensive experiments demonstrate that BIC consistently outperforms state-of-the-art baselines on two widely adopted datasets. Further analyses reveal that text-graph interactions and modeling semantic consistency are essential improvements and help combat bot evolution.",
2023,BotMoE: Twitter Bot Detection with Community-Aware Mixtures of Modal-Specific Experts,"Yuhan Liu, Zhaoxuan Tan, Heng Wang, Shangbin Feng, Qinghua Zheng, Minnan Luo","The 46th International ACM SIGIR Conference on Research and Development in Information Retrieval, 2023.",BotMoE.jpg,https://arxiv.org/abs/2304.06280,Social Network Analysis,,,https://github.com/lyh6560new/BotMoE,"@misc{liu2023botmoe,
      title={BotMoE: Twitter Bot Detection with Community-Aware Mixtures of Modal-Specific Experts}, 
      author={Yuhan Liu and Zhaoxuan Tan and Heng Wang and Shangbin Feng and Qinghua Zheng and Minnan Luo},
      year={2023},
      eprint={2304.06280},
      archivePrefix={arXiv},
      primaryClass={cs.SI}
}","Twitter bot detection has become a crucial task in efforts to combat online misinformation, mitigate election interference, and curb malicious propaganda. However, advanced Twitter bots often attempt to mimic the characteristics of genuine users through feature manipulation and disguise themselves to fit in diverse user communities, posing challenges for existing Twitter bot detection models. To this end, we propose BotMoE, a Twitter bot detection framework that jointly utilizes multiple user information modalities (metadata, textual content, network structure) to improve the detection of deceptive bots. Furthermore, BotMoE incorporates a community-aware Mixture-of-Experts (MoE) layer to improve domain generalization and adapt to different Twitter communities. Specifically, BotMoE constructs modal-specific encoders for metadata features, textual content, and graphical structure, which jointly model Twitter users from three modal-specific perspectives. We then employ a community-aware MoE layer to automatically assign users to different communities and leverage the corresponding expert networks. Finally, user representations from metadata, text, and graph perspectives are fused with an expert fusion layer, combining all three modalities while measuring the consistency of user information. Extensive experiments demonstrate that BotMoE significantly advances the state-of-the-art on three Twitter bot detection benchmarks. Studies also confirm that BotMoE captures advanced and evasive bots, alleviates the reliance on training data, and better generalizes to new and previously unseen user communities.",
2023,KRACL: Contrastive Learning with Graph Context Modeling for Sparse Knowledge Graph Completion,"Zhaoxuan Tan, Zilong Chen, Shangbin Feng, Qingyue Zhang, Qinghua Zheng, Jundong Li, Minnan Luo","The Web Conference (WWW), 2023.",KRACL.jpg,https://arxiv.org/abs/2208.07622,Knowledge Graph,,,https://github.com/TamSiuhin/KRACL,"@misc{https://doi.org/10.48550/arxiv.2208.07622,
  doi = {10.48550/ARXIV.2208.07622},
  
  url = {https://arxiv.org/abs/2208.07622},
  
  author = {Tan, Zhaoxuan and Chen, Zilong and Feng, Shangbin and Zhang, Qingyue and Zheng, Qinghua and Li, Jundong and Luo, Minnan},
  
  keywords = {Artificial Intelligence (cs.AI), FOS: Computer and information sciences, FOS: Computer and information sciences},
  
  title = {KRACL: Contrastive Learning with Graph Context Modeling for Sparse Knowledge Graph Completion},
  
  publisher = {arXiv},
  
  year = {2022},
  
  copyright = {arXiv.org perpetual, non-exclusive license}
}
","Knowledge Graph Embeddings (KGE) aim to map entities and relations to low dimensional spaces and have become the \textit{de-facto} standard for knowledge graph completion. Most existing KGE methods suffer from the sparsity challenge, where it is harder to predict entities that appear less frequently in knowledge graphs. In this work, we propose a novel framework KRACL to alleviate the widespread sparsity in KGs with graph context and contrastive learning. Firstly, we propose the Knowledge Relational Attention Network (KRAT) to leverage the graph context by simultaneously projecting neighboring triples to different latent spaces and jointly aggregating messages with the attention mechanism. KRAT is capable of capturing the subtle semantic information and importance of different context triples as well as leveraging multi-hop information in knowledge graphs. Secondly, we propose the knowledge contrastive loss by combining the contrastive loss with cross entropy loss, which introduces more negative samples and thus enriches the feedback to sparse entities. Our experiments demonstrate that KRACL achieves superior results across various standard knowledge graph benchmarks, especially on WN18RR and NELL-995 which have large numbers of low in-degree entities. Extensive experiments also bear out KRACL's effectiveness in handling sparse knowledge graphs and robustness against noisy triples.",
2022,PAR: Political Actor Representation Learning with Social Context and Expert Knowledge,"Shangbin Feng, Zhaoxuan Tan, Zilong Chen, Ningnan Wang, Peisheng Yu, Qinghua Zheng, Minnan Luo","the 2022 Conference on Empirical Methods in Natural Language Processing (EMNLP), 2022.",PAR.jpg,https://arxiv.org/abs/2210.08362,"Social Network Analysis, Graph Neural Networks",,,https://github.com/BunsenFeng/PAR,"@misc{https://doi.org/10.48550/arxiv.2210.08362,
  doi = {10.48550/ARXIV.2210.08362},
  
  url = {https://arxiv.org/abs/2210.08362},
  
  author = {Feng, Shangbin and Tan, Zhaoxuan and Chen, Zilong and Wang, Ningnan and Yu, Peisheng and Zheng, Qinghua and Chang, Xiaojun and Luo, Minnan},
  
  keywords = {Computation and Language (cs.CL), FOS: Computer and information sciences, FOS: Computer and information sciences},
  
  title = {PAR: Political Actor Representation Learning with Social Context and Expert Knowledge},
  
  publisher = {arXiv},
  
  year = {2022},
  
  copyright = {Creative Commons Attribution 4.0 International}
}","Modeling the ideological perspectives of political actors is an essential task in computational political science with applications in many downstream tasks. Existing approaches are generally limited to textual data and voting records, while they neglect the rich social context and valuable expert knowledge for holistic ideological analysis. In this paper, we propose PAR, a Political Actor Representation learning framework that jointly leverages social context and expert knowledge. Specifically, we retrieve and extract factual statements about legislators to leverage social context information. We then construct a heterogeneous information network to incorporate social context and use relational graph neural networks to learn legislator representations. Finally, we train PAR with three objectives to align representation learning with expert knowledge, model ideological stance consistency, and simulate the echo chamber phenomenon. Extensive experiments demonstrate that PAR is better at augmenting political text understanding and successfully advances the state-of-the-art in political perspective detection and roll call vote prediction. Further analysis proves that PAR learns representations that reflect the political reality and provide new insights into political behavior",PAR-poster
2022,AHEAD: A Triple Attention Based Heterogeneous Graph Anomaly Detection Approach,"Shujie Yang, Binchi Zhang, Shangbin Feng, Zhaoxuan Tan, Qinghua Zheng, Jun Zhou, Minnan Luo","the China Intelligence Automation Congress(CIAC), 2023.",AHEAD.jpg,https://arxiv.org/abs/2208.08200,Graph Neural Networks,,,,"@misc{https://doi.org/10.48550/arxiv.2208.08200,
  doi = {10.48550/ARXIV.2208.08200},
  
  url = {https://arxiv.org/abs/2208.08200},
  
  author = {Yang, Shujie and Zhang, Binchi and Feng, Shangbin and Tan, Zhaoxuan and Zheng, Qinghua and Zhou, Jun and Luo, Minnan},
  
  keywords = {Social and Information Networks (cs.SI), Machine Learning (cs.LG), FOS: Computer and information sciences, FOS: Computer and information sciences},
  
  title = {AHEAD: A Triple Attention Based Heterogeneous Graph Anomaly Detection Approach},
  
  publisher = {arXiv},
  
  year = {2022},
  
  copyright = {arXiv.org perpetual, non-exclusive license}
}
","Graph anomaly detection on attributed networks has become a prevalent research topic due to its broad applications in many influential domains. In real-world scenarios, nodes and edges in attributed networks usually display distinct heterogeneity, i.e. attributes of different types of nodes show great variety, different types of relations represent diverse meanings. Anomalies usually perform differently from the majority in various perspectives of heterogeneity in these networks. However, existing graph anomaly detection approaches do not leverage heterogeneity in attributed networks, which is highly related to anomaly detection. In light of this problem, we propose AHEAD: a heterogeneity-aware unsupervised graph anomaly detection approach based on the encoder-decoder framework. Specifically, for the encoder, we design three levels of attention, i.e. attribute level, node type level, and edge level attentions to capture the heterogeneity of network structure, node properties and information of a single node, respectively. In the decoder, we exploit structure, attribute, and node type reconstruction terms to obtain an anomaly score for each node. Extensive experiments show the superiority of AHEAD on several real-world heterogeneous information networks compared with the state-of-arts in the unsupervised setting. Further experiments verify the effectiveness and robustness of our triple attention, model backbone, and decoder in general.",
2022,BIC: Twitter Bot Detection with Text-Graph Interaction and Semantic Consistency,"Zhenyu Lei, Herun Wan, Wenqian Zhang, Shangbin Feng, Zilong Chen, Qinghua Zheng, Minnan Luo",arXiv preprint arXiv:2208.08320 (2022).,BIC.jpg,https://arxiv.org/abs/2208.08320,Social Network Analysis,,,,"@misc{https://doi.org/10.48550/arxiv.2208.08320,
  doi = {10.48550/ARXIV.2208.08320},
  
  url = {https://arxiv.org/abs/2208.08320},
  
  author = {Lei, Zhenyu and Wan, Herun and Zhang, Wenqian and Feng, Shangbin and Chen, Zilong and Zheng, Qinghua and Luo, Minnan},
  
  keywords = {Artificial Intelligence (cs.AI), FOS: Computer and information sciences, FOS: Computer and information sciences},
  
  title = {BIC: Twitter Bot Detection with Text-Graph Interaction and Semantic Consistency},
  
  publisher = {arXiv},
  
  year = {2022},
  
  copyright = {arXiv.org perpetual, non-exclusive license}
}
","Twitter bot detection is an important and meaningful task. Existing text-based methods can deeply analyze user tweet content, achieving high performance. However, novel Twitter bots evade these detections by stealing genuine users' tweets and diluting malicious content with benign tweets. These novel bots are proposed to be characterized by semantic inconsistency. In addition, methods leveraging Twitter graph structure are recently emerging, showing great competitiveness. However, hardly a method has made text and graph modality deeply fused and interacted to leverage both advantages and learn the relative importance of the two modalities. In this paper, we propose a novel model named BIC that makes the text and graph modalities deeply interactive and detects tweet semantic inconsistency. Specifically, BIC contains a text propagation module, a graph propagation module to conduct bot detection respectively on text and graph structure, and a proven effective text-graph interactive module to make the two interact. Besides, BIC contains a semantic consistency detection module to learn semantic consistency information from tweets. Extensive experiments demonstrate that our framework outperforms competitive baselines on a comprehensive Twitter bot benchmark. We also prove the effectiveness of the proposed interaction and semantic consistency detection.",
2022,KRACL: Contrastive Learning with Graph Context Modeling for Sparse Knowledge Graph Completion,"Zhaoxuan Tan, Zilong Chen, Shangbin Feng, Qingyue Zhang, Qinghua Zheng, Jundong Li, Minnan Luo",arXiv preprint arXiv:2208.07622 (2022).,KRACL.jpg,https://arxiv.org/abs/2208.07622,Knowledge Graph,,,,"@misc{https://doi.org/10.48550/arxiv.2208.07622,
  doi = {10.48550/ARXIV.2208.07622},
  
  url = {https://arxiv.org/abs/2208.07622},
  
  author = {Tan, Zhaoxuan and Chen, Zilong and Feng, Shangbin and Zhang, Qingyue and Zheng, Qinghua and Li, Jundong and Luo, Minnan},
  
  keywords = {Artificial Intelligence (cs.AI), FOS: Computer and information sciences, FOS: Computer and information sciences},
  
  title = {KRACL: Contrastive Learning with Graph Context Modeling for Sparse Knowledge Graph Completion},
  
  publisher = {arXiv},
  
  year = {2022},
  
  copyright = {arXiv.org perpetual, non-exclusive license}
}
","Knowledge Graph Embeddings (KGE) aim to map entities and relations to low dimensional spaces and have become the \textit{de-facto} standard for knowledge graph completion. Most existing KGE methods suffer from the sparsity challenge, where it is harder to predict entities that appear less frequently in knowledge graphs. In this work, we propose a novel framework KRACL to alleviate the widespread sparsity in KGs with graph context and contrastive learning. Firstly, we propose the Knowledge Relational Attention Network (KRAT) to leverage the graph context by simultaneously projecting neighboring triples to different latent spaces and jointly aggregating messages with the attention mechanism. KRAT is capable of capturing the subtle semantic information and importance of different context triples as well as leveraging multi-hop information in knowledge graphs. Secondly, we propose the knowledge contrastive loss by combining the contrastive loss with cross entropy loss, which introduces more negative samples and thus enriches the feedback to sparse entities. Our experiments demonstrate that KRACL achieves superior results across various standard knowledge graph benchmarks, especially on WN18RR and NELL-995 which have large numbers of low in-degree entities. Extensive experiments also bear out KRACL's effectiveness in handling sparse knowledge graphs and robustness against noisy triples.",
