year,title,authors,publication,image,link,category,demo,data,software,bibtex,abstract,poster
2022,GraTO: Graph Neural Network Framework Tackling Over-smoothing with Neural Architecture Search,"Xinshun Feng, Herun Wan, Shangbin Feng, Hongrui Wang, Jun Zhou, Qinghua Zheng, Minnan Luo","ACM International Conference on Information and Knowledge Management (CIKM), 2022. ",GraTO.jpg,https://arxiv.org/abs/2208.09027,Graph Neural Networks,,,https://github.com/fxsxjtu/GraTO,"@misc{https://doi.org/10.48550/arxiv.2208.09027,
  doi = {10.48550/ARXIV.2208.09027},
  
  url = {https://arxiv.org/abs/2208.09027},
  
  author = {Feng, Xinshun and Wan, Herun and Feng, Shangbin and Wang, Hongrui and Zhou, Jun and Zheng, Qinghua and Luo, Minnan},
  
  keywords = {Machine Learning (cs.LG), FOS: Computer and information sciences, FOS: Computer and information sciences},
  
  title = {GraTO: Graph Neural Network Framework Tackling Over-smoothing with Neural Architecture Search},
  
  publisher = {arXiv},
  
  year = {2022},
  
  copyright = {Creative Commons Attribution 4.0 International}
}
","Current Graph Neural Networks (GNNs) suffer from the over-smoothing problem, which results in indistinguishable node representations and low model performance with more GNN layers. Many methods have been put forward to tackle this problem in recent years. However, existing tackling over-smoothing methods emphasize model performance and neglect the over-smoothness of node representations. Additional, different approaches are applied one at a time, while there lacks an overall framework to jointly leverage multiple solutions to the over-smoothing challenge which causes poor model performance. To solve these problems, we propose GraTO, a framework based on neural architecture search to automatically search for GNNs architecture. GraTO adopts a novel loss function to facilitate striking a balance between model performance and representation smoothness. In addition to existing methods, our search space also includes DropAttribute, a novel scheme for alleviating the over-smoothing challenge, to fully leverage diverse solutions. We conduct extensive experiments on six real-world datasets to evaluate GraTo, which demonstrates that GraTo outperforms baselines in the over-smoothing metrics and achieves competitive performance in accuracy. GraTO is especially effective and robust with increasing numbers of GNN layers. Further experiments bear out the quality of node representations learned with GraTO and the effectiveness of model architecture.",
2022,TwiBot-22: Towards Graph-Based Twitter Bot Detection,"Shangbin Feng<sup>*</sup>, Zhaoxuan Tan<sup>*</sup>, Herun Wan<sup>*</sup>, Ningnan Wang<sup>*</sup>, Zilong Chen<sup>*</sup>, Binchi Zhang<sup>*</sup>, Qinghua Zheng, Wenqian Zhang, Zhenyu Lei, Shujie Yang, Xinshun Feng, Qingyue Zhang, Hongrui Wang, Yuhan Liu, Yuyang Bai, Heng Wang, Zijian Cai, Yanbo Wang, Lijing Zheng, Zihan Ma, Jundong Li, Minnan Luo","the Thirty-sixth Conference on Neural Information Processing Systems (NeurIPS), Dataset and Benchmark Track, 2022.",TwiBot-22.jpg,https://arxiv.org/abs/2206.04564,Social Network Analysis,,https://twibot22.github.io/,https://github.com/LuoUndergradXJTU/TwiBot-22,"@misc{https://doi.org/10.48550/arxiv.2206.04564,</br>
  doi = {10.48550/ARXIV.2206.04564},</br>
  url = {https://arxiv.org/abs/2206.04564},</br>
  author = {Feng, Shangbin and Tan, Zhaoxuan and Wan, Herun and Wang, Ningnan and Chen, Zilong and Zhang, Binchi and Zheng, Qinghua and Zhang, Wenqian and Lei, Zhenyu and Yang, Shujie and Feng, Xinshun and Zhang, Qingyue and Wang, Hongrui and Liu, Yuhan and Bai, Yuyang and Wang, Heng and Cai, Zijian and Wang, Yanbo and Zheng, Lijing and Ma, Zihan and Li, Jundong and Luo, Minnan},</br>
  keywords = {Social and Information Networks (cs.SI), Artificial Intelligence (cs.AI), FOS: Computer and information sciences, FOS: Computer and information sciences},</br>
  title = {TwiBot-22: Towards Graph-Based Twitter Bot Detection},</br>
  publisher = {arXiv},</br>
  year = {2022},</br>
  copyright = {arXiv.org perpetual, non-exclusive license}
}","Twitter bot detection has become an increasingly important task to combat misinformation, facilitate social media moderation, and preserve the integrity of the online discourse. State-of-the-art bot detection methods generally leverage the graph structure of the Twitter network, and they exhibit promising performance when confronting novel Twitter bots that traditional methods fail to detect. However, very few of the existing Twitter bot detection datasets are graph-based, and even these few graph-based datasets suffer from limited dataset scale, incomplete graph structure, as well as low annotation quality. In fact, the lack of a large-scale graph-based Twitter bot detection benchmark that addresses these issues has seriously hindered the development and evaluation of novel graph-based bot detection approaches. In this paper, we propose TwiBot-22, a comprehensive graph-based Twitter bot detection benchmark that presents the largest dataset to date, provides diversified entities and relations on the Twitter network, and has considerably better annotation quality than existing datasets. In addition, we re-implement 35 representative Twitter bot detection baselines and evaluate them on 9 datasets, including TwiBot-22, to promote a fair comparison of model performance and a holistic understanding of research progress. To facilitate further research, we consolidate all implemented codes and datasets into the TwiBot-22 evaluation framework, where researchers could consistently evaluate new models and datasets. The TwiBot-22 Twitter bot detection benchmark and evaluation framework are publicly available at https://twibot22.github.io/.",TwiBot-22-poster
2022,KCD: Knowledge Walks and Textual Cues Enhanced Political Perspective Detection in News Media,"Wenqian Zhang<sup>*</sup>, Shangbin Feng<sup>*</sup>, Zilong Chen<sup>*</sup>, Zhenyu Lei, Jundong Li, Minnan Luo","Annual Conference of the North American Chapter of the Association for Computational Linguistics (NAACL), 2022. ",KCD.jpg,https://arxiv.org/abs/2204.04046,"Natural Language Processing, Knowledge Graph",,,,"@misc{https://doi.org/10.48550/arxiv.2204.04046,</br>
  doi = {10.48550/ARXIV.2204.04046},</br>
  url = {https://arxiv.org/abs/2204.04046},</br>  
  author = {Zhang, Wenqian and Feng, Shangbin and Chen, Zilong and Lei, Zhenyu and Li, Jundong and Luo, Minnan},</br>
  keywords = {Machine Learning (cs.LG), Artificial Intelligence (cs.AI), FOS: Computer and information sciences, FOS: Computer and information sciences},</br>  
  title = {KCD: Knowledge Walks and Textual Cues Enhanced Political Perspective Detection in News Media},</br>
  publisher = {arXiv},</br>
  year = {2022},</br>
  copyright = {Creative Commons Attribution 4.0 International}
}","Political perspective detection has become an increasingly important task that can help combat echo chambers and political polarization. Previous approaches generally focus on leveraging textual content to identify stances, while they fail to reason with background knowledge or leverage the rich semantic and syntactic textual labels in news articles. In light of these limitations, we propose KCD, a political perspective detection approach to enable multi-hop knowledge reasoning and incorporate textual cues as paragraph-level labels. Specifically, we firstly generate random walks on external knowledge graphs and infuse them with news text representations. We then construct a heterogeneous information network to jointly model news content as well as semantic, syntactic and entity cues in news articles. Finally, we adopt relational graph neural networks for graph-level representation learning and conduct political perspective detection. Extensive experiments demonstrate that our approach outperforms state-of-the-art methods on two benchmark datasets. We further examine the effect of knowledge walks and textual cues and how they contribute to our approach's data efficiency.",
2021,Heterogeneity-aware Twitter Bot Detection with Relational Graph Transformers,"Shangbin Feng, Zhaoxuan Tan, Rui Li, Minnan Luo","the Thirty-sixth AAAI Conference on Artificial Intelligence (AAAI), 2022. [15% acceptance rate]",RGT.jpg,https://arxiv.org/abs/2109.02927,"Social Network Analysis, Graph Neural Networks",,,https://github.com/BunsenFeng/bot_heterogeneity,"@article{feng2021heterogeneity,</br>
  title={Heterogeneity-aware Twitter Bot Detection with Relational Graph Transformers},</br>
  author={Feng, Shangbin and Tan, Zhaoxuan and Li, Rui and Luo, Minnan},</br>
  journal={arXiv preprint arXiv:2109.02927},</br>
  year={2021}
}","Twitter bot detection has become an important and challenging task to combat misinformation and protect the integrity of the online discourse. State-of-the-art approaches generally leverage the topological structure of the Twittersphere, while they neglect the heterogeneity of relations and influence among users. In this paper, we propose a novel bot detection framework to alleviate this problem, which leverages the topological structure of user-formed heterogeneous graphs and models varying influence intensity between users. Specifically, we construct a heterogeneous information network with users as nodes and diversified relations as edges. We then propose relational graph transformers to model heterogeneous influence between users and learn node representations. Finally, we use semantic attention networks to aggregate messages across users and relations and conduct heterogeneity-aware Twitter bot detection. Extensive experiments demonstrate that our proposal outperforms state-of-the-art methods on a comprehensive Twitter bot detection benchmark. Additional studies also bear out the effectiveness of our proposed relational graph transformers, semantic attention networks and the graph-based approach in general.",heterobot@aaai22 poster
2021,TwiBot-20: A Comprehensive Twitter Bot Detection Benchmark,"Shangbin Feng, Herun Wan, Ningnan Wang, Jundong Li, Minnan Luo","ACM International Conference on Information and Knowledge Management (CIKM), 2021. [32.5% acceptance rate]",TwiBot-20.jpg,https://arxiv.org/abs/2106.13088,Social Network Analysis,TwiBot-20_slides,https://github.com/BunsenFeng/TwiBot-20,,"@inproceedings{10.1145/3459637.3482019,</br>
author = {Feng, Shangbin and Wan, Herun and Wang, Ningnan and Li, Jundong and Luo, Minnan and Luo, Minnan},</br>
title = {TwiBot-20: A Comprehensive Twitter Bot Detection Benchmark},</br>
year = {2021},</br>
isbn = {9781450384469},</br>
publisher = {Association for Computing Machinery},</br>
address = {New York, NY, USA},</br>
url = {https://doi.org/10.1145/3459637.3482019},</br>
doi = {10.1145/3459637.3482019},</br>
abstract = {Twitter has become a vital social media platform while an ample amount of malicious
Twitter bots exist and induce undesirable social effects. Successful Twitter bot detection
proposals are generally supervised, which rely heavily on large-scale datasets. However,
existing benchmarks generally suffer from low levels of user diversity, limited user
information and data scarcity. Therefore, these datasets are not sufficient to train
and stably benchmark bot detection measures. To alleviate these problems, we present
TwiBot-20, a massive Twitter bot detection benchmark, which contains 229,573 users,
33,488,192 tweets, 8,723,736 user property items and 455,958 follow relationships.
TwiBot-20 covers diversified bots and genuine users to better represent the real-world
Twittersphere. TwiBot-20 also includes three modals of user information to support
both binary classification of single users and community-aware approaches. To the
best of our knowledge, TwiBot-20 is the largest Twitter bot detection benchmark to
date. We reproduce competitive bot detection methods and conduct a thorough evaluation
on TwiBot-20 and two other public datasets. Experiment results demonstrate that existing
bot detection measures fail to match their previously claimed performance on TwiBot-20,
which suggests that Twitter bot detection remains a challenging task and requires
further research efforts.},</br>
booktitle = {Proceedings of the 30th ACM International Conference on Information & Knowledge Management},</br>
pages = {4485誰多?494},</br>
numpages = {10},</br>
keywords = {benchmarking, twitter bot detection, social media, twitter API},</br>
location = {Virtual Event, Queensland, Australia},</br>
series = {CIKM '21}</br>
}","Twitter has become a vital social media platform while an ample amount of malicious Twitter bots exist and induce undesirable social effects. Successful Twitter bot detection proposals are generally supervised, which rely heavily on large-scale datasets. However, existing benchmarks generally suffer from low levels of user diversity, limited user information and data scarcity. Therefore, these datasets are not sufficient to train and stably benchmark bot detection measures. To alleviate these problems, we present TwiBot-20, a massive Twitter bot detection benchmark, which contains 229,573 users, 33,488,192 tweets, 8,723,736 user property items and 455,958 follow relationships. TwiBot-20 covers diversified bots and genuine users to better represent the real-world Twittersphere. TwiBot-20 also includes three modals of user information to support both binary classification of single users and community-aware approaches. To the best of our knowledge, TwiBot-20 is the largest Twitter bot detection benchmark to date. We reproduce competitive bot detection methods and conduct a thorough evaluation on TwiBot-20 and two other public datasets. Experiment results demonstrate that existing bot detection measures fail to match their previously claimed performance on TwiBot-20, which suggests that Twitter bot detection remains a challenging task and requires further research efforts.",TwiBot-20_poster
2021,SATAR: A Self-supervised Approach to Twitter Account Representation Learning and its Application in Bot Detection,"Shangbin Feng, Herun Wan, Ningnan Wang, Jundong Li, Minnan Luo","ACM International Conference on Information and Knowledge Management (CIKM), 2021. [24% acceptance rate]",SATAR.jpg,https://arxiv.org/abs/2106.13089,Social Network Analysis,SATAR_slides,,https://github.com/BunsenFeng/SATAR,"@inproceedings{10.1145/3459637.3481949,</br>
author = {Feng, Shangbin and Wan, Herun and Wang, Ningnan and Li, Jundong and Luo, Minnan},</br>
title = {SATAR: A Self-Supervised Approach to Twitter Account Representation Learning and Its Application in Bot Detection},</br>
year = {2021},</br>
isbn = {9781450384469},</br>
publisher = {Association for Computing Machinery},</br>
address = {New York, NY, USA},</br>
url = {https://doi.org/10.1145/3459637.3481949},</br>
doi = {10.1145/3459637.3481949},</br>
abstract = {Twitter has become a major social media platform since its launching in 2006, while complaints about bot accounts have increased recently. Although extensive research
efforts have been made, the state-of-the-art bot detection methods fall short of generalizability and adaptability. Specifically, previous bot detectors leverage only a small fraction of user information and are often trained on datasets that only cover few types of bots. As a result, they fail to generalize to real-world scenarios on the Twittersphere where different types of bots co-exist. Additionally, bots in Twitter are constantly evolving to evade detection. Previous efforts, although effective once in their context, fail to adapt to new generations of Twitter bots. To address the two challenges of Twitter bot detection, we propose SATAR, a self-supervised representation learning framework of Twitter users, and apply it to the task of bot detection. In particular, SATAR generalizes by jointly leveraging the semantics, property and neighborhood information of a specific user. Meanwhile, SATAR adapts by pre-training on a massive number of self-supervised users and fine-tuning on detailed bot detection scenarios. Extensive experiments demonstrate that SATAR outperforms competitive baselines on different bot detection datasets of varying information completeness and collection time. SATAR is also proved to generalize in real-world scenarios and adapt to evolving generations of social media bots.},
booktitle = {Proceedings of the 30th ACM International Conference on Information & Knowledge Management},</br>
pages = {3808誰多?817},</br>
numpages = {10},</br>
keywords = {self-supervised learning, representation learning, twitter bot detection, social media},</br>
location = {Virtual Event, Queensland, Australia},</br>
series = {CIKM '21}</br>
}","Twitter has become a major social media platform since its launching in 2006, while complaints about bot accounts have increased recently. Although extensive research efforts have been made, the state-of-the-art bot detection methods fall short of generalizability and adaptability. Specifically, previous bot detectors leverage only a small fraction of user information and are often trained on datasets that only cover few types of bots. As a result, they fail to generalize to real-world scenarios on the Twittersphere where different types of bots co-exist. Additionally, bots in Twitter are constantly evolving to evade detection. Previous efforts, although effective once in their context, fail to adapt to new generations of Twitter bots. To address the two challenges of Twitter bot detection, we propose SATAR, a self-supervised representation learning framework of Twitter users, and apply it to the task of bot detection. In particular, SATAR generalizes by jointly leveraging the semantics, property and neighborhood information of a specific user. Meanwhile, SATAR adapts by pre-training on a massive number of self-supervised users and fine-tuning on detailed bot detection scenarios. Extensive experiments demonstrate that SATAR outperforms competitive baselines on different bot detection datasets of varying information completeness and collection time. SATAR is also proved to generalize in real-world scenarios and adapt to evolving generations of social media bots.",SATAR_poster
2021,BotRGCN: Twitter Bot Detection with Relational Graph Convolutional Networks,"Shangbin Feng, Herun Wan, Ningnan Wang, Minnan Luo","IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM), 2021. [22% acceptance rate]",BotRGCN.jpg,https://arxiv.org/abs/2106.13092,"Social Network Analysis, Graph Neural Networks",BotRGCN_ASONAM_2021_Presentation,,https://github.com/BunsenFeng/BotRGCN,"@article{feng2021botrgcn,</br>
  title={BotRGCN: Twitter Bot Detection with Relational Graph Convolutional Networks},</br>
  author={Feng, Shangbin and Wan, Herun and Wang, Ningnan and Luo, Minnan},</br>
  journal={arXiv preprint arXiv:2106.13092},</br>
  year={2021}
}","Twitter users operated by automated programs, also known as bots, have increased their appearance recently and induced undesirable social effects. While extensive research efforts have been devoted to the task of Twitter bot detection, previous methods leverage only a small fraction of user semantic and profile information, which leads to their failure in identifying bots that exploit multi-modal user information to disguise as genuine users. Apart from that, the state-of-the-art bot detectors fail to leverage user follow relationships and the graph structure it forms. As a result, these methods fall short of capturing new generations of Twitter bots that act in groups and seem genuine individually. To address these two challenges of Twitter bot detection, we propose BotRGCN, which is short for Bot detection with Relational Graph Convolutional Networks. BotRGCN addresses the challenge of community by constructing a heterogeneous graph from follow relationships and apply relational graph convolutional networks to the Twittersphere. Apart from that, BotRGCN makes use of multi-modal user semantic and property information to avoid feature engineering and augment its ability to capture bots with diversified disguise. Extensive experiments demonstrate that BotRGCN outperforms competitive baselines on a comprehensive benchmark TwiBot-20 which provides follow relationships. BotRGCN is also proved to effectively leverage three modals of user information, namely semantic, property and neighborhood information, to boost bot detection performance.",
2021,PPSGCN: A Privacy-Preserving Subgraph Sampling Based Distributed GCN Training Method,"Binchi Zhang, Minnan Luo, Shangbin Feng, Ziqi Liu, Jun Zhou, Qinghua Zheng",arXiv preprint arXiv:2110.12906 (2021).,PPSGCN.jpg,https://arxiv.org/abs/2110.12906,Graph Neural Networks,,,,"@misc{zhang2021ppsgcn,</br>
      title={PPSGCN: A Privacy-Preserving Subgraph Sampling Based Distributed GCN Training Method}, </br>
      author={Binchi Zhang and Minnan Luo and Shangbin Feng and Ziqi Liu and Jun Zhou and Qinghua Zheng},</br>
      year={2021},</br>
      eprint={2110.12906},</br>
      archivePrefix={arXiv},</br>
      primaryClass={cs.LG}</br>
}","Graph convolutional networks (GCNs) have been widely adopted for graph representation learning and achieved impressive performance. For larger graphs stored separately on different clients, distributed GCN training algorithms were proposed to improve efficiency and scalability. However, existing methods directly exchange node features between different clients, which results in data privacy leakage. Federated learning was incorporated in graph learning to tackle data privacy, while they suffer from severe performance drop due to non-iid data distribution. Besides, these approaches generally involve heavy communication and memory overhead during the training process. In light of these problems, we propose a Privacy-Preserving Subgraph sampling based distributed GCN training method (PPSGCN), which preserves data privacy and significantly cuts back on communication and memory overhead. Specifically, PPSGCN employs a star-topology client-server system. We firstly sample a local node subset in each client to form a global subgraph, which greatly reduces communication and memory costs. We then conduct local computation on each client with features or gradients of the sampled nodes. Finally, all clients securely communicate with the central server with homomorphic encryption to combine local results while preserving data privacy. Compared with federated graph learning methods, our PPSGCN model is trained on a global graph to avoid the negative impact of local data distribution. We prove that our PPSGCN algorithm would converge to a local optimum with probability 1. Experiment results on three prevalent benchmarks demonstrate that our algorithm significantly reduces communication and memory overhead while maintaining desirable performance. Further studies not only demonstrate the fast convergence of PPSGCN, but discuss the trade-off between communication and local computation cost as well.",
2021,Knowledge Graph Augmented Political Perspective Detection in News Media,"Shangbin Feng<sup>*</sup>, Zilong Chen<sup>*</sup>, Wenqian Zhang<sup>*</sup>, Qingyao Li, Qinghua Zheng, Xiaojun Chang, Minnan Luo",arXiv preprint arXiv:2108.03861 (2021).,KGAP.jpg,https://arxiv.org/abs/2108.03861,"Natural Language Processing, Knowledge Graph",,,https://github.com/BunsenFeng/news_stance_detection,"@article{feng2021knowledge,</br>
  title={Knowledge Graph Augmented Political Perspective Detection in News Media},</br>
  author={Feng, Shangbin and Chen, Zilong and Li, Qingyao and Luo, Minnan},</br>
  journal={arXiv preprint arXiv:2108.03861},</br>
  year={2021}
}","Identifying political perspective in news media has become an important task due to the rapid growth of political commentary and the increasingly polarized ideologies. Previous approaches only focus on leveraging the semantic information and leaves out the rich social and political context that helps individuals understand political stances. In this paper, we propose a perspective detection method that incorporates external knowledge of real-world politics. Specifically, we construct a contemporary political knowledge graph with 1,071 entities and 10,703 triples. We then build a heterogeneous information network for each news document that jointly models article semantics and external knowledge in knowledge graphs. Finally, we apply gated relational graph convolutional networks and conduct political perspective detection as graph-level classification. Extensive experiments show that our method achieves the best performance and outperforms state-of-the-art methods by 5.49%. Numerous ablation studies further bear out the necessity of external knowledge and the effectiveness of our graph-based approach.",
2021,Legislator Representation Learning with Social Context and Expert Knowledge,"Shangbin Feng, Zhaoxuan Tan, Zilong Chen, Peisheng Yu, Qinghua Zheng, Xiaojun Chang, Minnan Luo",arXiv preprint arXiv:2108.03881 (2021).,PAR.jpg,https://arxiv.org/abs/2108.03881,Social Computing,,,https://github.com/BunsenFeng/entity_stance_prediction,"@article{feng2021encoding,</br>
  title={Encoding Heterogeneous Social and Political Context for Entity Stance Prediction},</br>
  author={Feng, Shangbin and Chen, Zilong and Yu, Peisheng and Luo, Minnan},</br>
  journal={arXiv preprint arXiv:2108.03881},</br>
  year={2021}
}","Political stance detection has become an important task due to the increasingly polarized political ideologies. Most existing works focus on identifying perspectives in news articles or social media posts, while social entities, such as individuals and organizations, produce these texts and actually take stances. In this paper, we propose the novel task of entity stance prediction, which aims to predict entities' stances given their social and political context. Specifically, we retrieve facts from Wikipedia about social entities regarding contemporary U.S. politics. We then annotate social entities' stances towards political ideologies with the help of domain experts. After defining the task of entity stance prediction, we propose a graph-based solution, which constructs a heterogeneous information network from collected facts and adopts gated relational graph convolutional networks for representation learning. Our model is then trained with a combination of supervised, self-supervised and unsupervised loss functions, which are motivated by multiple social and political phenomenons. We conduct extensive experiments to compare our method with existing text and graph analysis baselines. Our model achieves highest stance detection accuracy and yields inspiring insights regarding social entity stances. We further conduct ablation study and parameter analysis to study the mechanism and effectiveness of our proposed approach.",
